sub_industry,Industry,sector,sic_code,sic_description,company_name,person_name,email,website,country,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,is_duplicate,duplicate_group,role_function,role_confidence
(HVAC) Heating Contractors & Consultants,Construction & Engineering,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,False,,Other,0.0
Computer Systems & Software (Development),Software Development & Services,Information Technology,62012,Business and domestic software development,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Computer Systems & Software (Sales),Technology Hardware & Peripherals,Information Technology,47410,"Retail sale of computers, peripheral units and software in specialised stores",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Computer Training,Education Services,Education,62020,Information technology consultancy activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concert Halls,Entertainment Services,"Media, Publishing & Entertainment",90040,Operation of arts facilities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concert Organisers,Events Management,Professional Services,90020,Support activities to performing arts,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concierge Services,Hospitality Management & Services,Hospitality,96090,Other service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concrete & Mortar Ready Mixed,Building Materials & Products,Construction & Materials,23630,Manufacture of ready-mixed concrete,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concrete Contractors,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concrete Floor Supplies,Building Materials & Products,Construction & Materials,23610,Manufacture of concrete products for construction purposes,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concrete Manufacturers & Distributors,Building Materials & Products,Manufacturing & Industrials,23610,Manufacture of concrete products for construction purposes,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concrete Products,Building Materials & Products,Manufacturing & Industrials,23610,Manufacture of concrete products for construction purposes,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concrete Pumping Services,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concrete Reinforcements,Building Materials & Products,Construction & Materials,42990,Construction of other civil engineering projects n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Concrete Repair & Maintenance Services,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Condensation Control,Construction Services,Construction & Materials,43290,Other construction installation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Confectionery & Retail,Food Retail,Consumer Goods & Services,47240,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Mouth Fresheners,Confectionery,Manufacturing & Industrials,10840,Manufacture of condiments and seasonings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Conference Centers,Events Management,Professional Services,82302,Activities of conference organisers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Conference Management Services,Events Management,Professional Services,82302,Activities of conference organisers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Conservation Organisations,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Conservatory Repairs,Specialized Consumer Services,Consumer Goods & Services,43999,Other specialised construction activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Construction Contractors/Builders,Construction & Engineering,Construction & Materials,41202,Construction of domestic buildings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Construction Design And Management Coordinator,Construction & Engineering,Construction & Materials,71111,Architectural activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consular Services,Government Services,Public Sector & Government,84110,General public administration activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consultancy,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consumer Advice,Consulting Services,Professional Services,82990,Other business support service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consumer Electronics Retail,Electronics Retail,Retail,46499,Wholesale of household goods (other than musical instruments) n.e.c,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consumer Goods,Consumer Goods,Consumer Goods & Services,46900,Non-specialised wholesale trade,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consumer Internet,Online & Digital Services,Information Technology,61100,Wired telecommunications activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consumer Organisations,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consumer Packaged Goods,Consumer Goods,Consumer Goods & Services,10890,Manufacture of other food products n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Consumer Product Reviews,Market Research,Marketing & Advertising,73200,Market research and public opinion polling,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Container Manufacturers,Packaging & Paper Products,Manufacturing & Industrials,22220,Manufacture of plastic packing goods,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Container Rental,Equipment Rental,Manufacturing & Industrials,77390,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Container Repositioning,Shipping & Marine Transportation,Transportation & Logistics,52101,Operation of warehousing and storage facilities for water transport activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Container Sales,Industrial Equipment & Supplies,Retail,46690,Wholesale of other machinery and equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Container Shipping,Shipping & Marine Transportation,Transportation & Logistics,50200,Sea and coastal freight water transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Contaminated Land Remediation,Environmental Engineering & Services,Manufacturing & Industrials,74901,Environmental consulting activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Content Management,Software Development & Services,Information Technology,62012,Business and domestic software development,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Contract Distilling,Food & Beverage Industry,Consumer Goods & Services,11010,"Distilling, rectifying and blending of spirits",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Contract Distribution,Logistics & Transportation,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Contract Furnishers/Interior Designer,Interior Design,Professional Services,74100,Specialised design activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Contract Manufacturing,Machinery & Manufacturing Services,Manufacturing & Industrials,32990,Other manufacturing n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Contract Packaging,Packaging & Paper Products,Manufacturing & Industrials,82920,Packaging activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Contract Packing,Packaging & Paper Products,Manufacturing & Industrials,82920,Packaging activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Contract Signing,Legal Services,Professional Services,69102,Solicitors,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Control Measures,Professional & Commercial Services,Professional Services,74909,"Other professional, scientific and technical activities n.e.c.",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Control Panel,Electrical Equipment & Goods,Manufacturing & Industrials,26512,Manufacture of electronic industrial process control equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Control System Equipment,Industrial Equipment & Supplies,Manufacturing & Industrials,26512,Manufacture of electronic industrial process control equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Control Valve Servicing,Industrial Equipment & Supplies,Manufacturing & Industrials,33120,Repair of machinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Convenience Stores,General Retail & Services,Retail,47110,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Converting Machinery Manufacturer,Industrial Equipment & Supplies,Manufacturing & Industrials,28950,Manufacture of machinery for paper and paperboard production,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Conveyancing Services,Legal Services,Professional Services,69102,Solicitors,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Conveyors & Conveyor Belts,Industrial Equipment & Supplies,Manufacturing & Industrials,28220,Manufacture of lifting and handling equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Convoyeurs Palettes,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cookery & Culinary Schools,Hospitality Management & Services,Hospitality,85590,Other education n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cookery Classes,Hospitality Management & Services,Hospitality,85590,Other education n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cooking Instruction,Hospitality Management & Services,Hospitality,85590,Other education n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cool/Cold Storage,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cooling Tunnels,Industrial Equipment & Supplies,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Copacking,Packaging & Paper Products,Manufacturing & Industrials,82920,Packaging activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Copying & Duplicating Machines & Supplies,Office Equipment,Retail,46660,Wholesale of other office machinery and equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Copying & Duplicating Services,Printing Services & Engineering,Manufacturing & Industrials,18130,Pre-press and pre-media services,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Copyright Agents,Legal Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cork Products,Machinery & Manufacturing Services,Manufacturing & Industrials,16290,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Communications,Professional & Commercial Services,Professional Services,70210,Public relations and communications activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Entertainment Agency,Events Management,Professional Services,82302,Activities of conference organisers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Events,Events Management,Professional Services,82302,Activities of conference organisers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Food Service,Hospitality Management & Services,Hospitality,56290,Other food services,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Hospitality,Hospitality Management & Services,Hospitality,82302,Activities of conference organisers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Insolvency,Legal Services,Professional Services,82911,Activities of collection agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate IT,IT Services & Support,Information Technology,62020,Information technology consultancy activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Meeting,Events Management,Professional Services,82302,Activities of conference organisers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Reorganisations & Restructures,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Secretary,Secretarial & Administrative Services,Professional Services,82110,Combined office administrative service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Team Building,Education Services,Professional Services,85590,Other education n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporate Volunteering,Civic & Social Organizations,Public Sector & Government,96090,Other service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corporatewear,Apparel,Consumer Goods & Services,14120,Manufacture of workwear,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Correspondence/Distance Learning Schools,Education Services,Education,85590,Other education n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Corrosion Prevention And Control (CPC),Corrosion Engineering,Manufacturing & Industrials,25610,Treatment and coating of metals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cosmetic Dentistry,Health Care Providers & Services,Healthcare,86230,Dental practice activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Premium Winegums & Vegan Winegums,Confectionery,Manufacturing & Industrials,10822,Manufacture of sugar confectionery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cosmetic Surgery,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cosmique Shop,Personal Care & Services,Consumer Goods & Services,47750,Retail sale of cosmetic and toilet articles in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Costume Jewellery,Jewelry,Retail,32130,Manufacture of imitation jewellery and related articles,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Costume Rental Service,Equipment Rental,Consumer Goods & Services,77299,Renting and leasing of other personal and household goods,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cottage,Hospitality Management & Services,Hospitality,55900,Other accommodation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cottage rental,Hospitality Management & Services,Hospitality,55209,Other holiday and other collective accommodation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Counselling & Advice,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Counterbalance,Material Handling Equipment & Systems,Manufacturing & Industrials,28220,Manufacture of lifting and handling equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Country Health Clubs,Hospitality Management & Services,Hospitality,93130,Fitness facilities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Courier,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Courier Exchange,Logistics & Transportation,Transportation & Logistics,53202,Unlicensed carriers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Courier Services,Logistics & Transportation,Transportation & Logistics,53202,Unlicensed carriers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Courts,Administration of Justice,Public Sector & Government,84230,Justice and judicial activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
CPD Courses,Education Services,Professional Services,85410,Post-secondary non-tertiary education,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Craft Centres & Shops,Art & Craft,"Media, Publishing & Entertainment",90030,Artistic creation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
"Crane Hire, Sales & Service",Equipment Rental,Manufacturing & Industrials,77320,Renting and leasing of construction and civil engineering machinery and equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Crane Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,28220,Manufacture of lifting and handling equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Credit & Finance Companies,Consumer Finance,Financial Services,64929,Other credit granting n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Credit Cards & Discount Cards,Consumer Finance,Financial Services,64929,Other credit granting n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Credit Institutions - Business & Personal,Consumer Finance,Financial Services,64999,Financial intermediation not elsewhere classified,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Credit Reference Agencies,Financial Services,Financial Services,82911,Activities of collection agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Credit Unions,Banks,Financial Services,64929,Other credit granting n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cremation & Funeral Services,Specialized Consumer Services,Consumer Goods & Services,96030,Funeral and related activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Creperie,"Hotels, Restaurants & Leisure",Hospitality,56102,Unlicenced restaurants and cafes,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Critical Care,Health Care Providers & Services,Healthcare,86101,Hospital activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Crockery,Building Materials & Products,Manufacturing & Industrials,23410,Manufacture of ceramic household and ornamental articles,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cruise Lines,Travel & Leisure,Hospitality,50100,Sea and coastal passenger water transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Crushing Plants,Industrial Equipment & Supplies,Manufacturing & Industrials,28923,Manufacture of equipment for concrete crushing and screening and roadworks,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Currency Exchange Service,Financial Services,Financial Services,66110,Administration of financial markets,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Curtain & Blind Fittings,Home Goods,Retail,13921,Manufacture of soft furnishings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Curtain Walling System,Construction & Engineering,Construction & Materials,43342,Glazing,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Custom Clearance Agents,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Custom IT Systems,Software Development & Services,Information Technology,62020,Information technology consultancy activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Custom Software,Software Development & Services,Information Technology,62012,Business and domestic software development,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Custom Solutions,Business Support Services,Professional Services,62090,Other information technology service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Custom T-shirt Store,Apparel,Consumer Goods & Services,47710,Retail sale of clothing in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customer Reviews,Market Research,Marketing & Advertising,73200,Market research and public opinion polling,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customer Service,Business Support Services,Professional Services,82990,Other business support service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customs & Excise,Public Sector & Government,Public Sector & Government,84220,Defence activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customs Brokerage,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customs Brokers,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customs Clearance & Forwarding,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customs Compliance Auditing,Compliance Services & Software,Professional Services,69201,Accounting and auditing activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customs Declarations,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customs Formalities,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Customs Processing,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cutlery Manufacturers,Household Goods & Services,Manufacturing & Industrials,25710,Manufacture of cutlery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cutting Services,Industrial Equipment & Supplies,Manufacturing & Industrials,25620,Machining,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cutting Tools & Machinery,Industrial Equipment & Supplies,Manufacturing & Industrials,28410,Manufacture of metal forming machinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
CV Services,Human Resources & Employment Services,Professional Services,78109,Other activities of employment placement agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cycle Shops,Specialty Retail,Retail,47640,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cycles - Renting & Leasing,Equipment Rental,Consumer Goods & Services,77210,Renting and leasing of recreational and sports goods,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cycling,Travel & Leisure,Hospitality,93199,Other sports activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cycling Hardware,Sporting Goods,Consumer Goods & Services,30920,Manufacture of bicycles and invalid carriages,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cycling Professional Services,Education Services,Education,85510,Sports and recreation education,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Cytology,Laboratory Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Production & Distribution Of Confectionery,Confectionery,Manufacturing & Industrials,10822,Manufacture of sugar confectionery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Promotional Confectionery,Confectionery,Manufacturing & Industrials,10822,Manufacture of sugar confectionery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Dairy Equipment Suppliers,Food Service Equipment,Manufacturing & Industrials,28930,"Manufacture of machinery for food, beverage and tobacco processing",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Dairy Farmers,Agriculture,Agriculture & Farming,1410,Raising of dairy cattle,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Dairy Produce Merchants,Food & Beverage Industry,Consumer Goods & Services,47290,Other retail sale of food in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Abattoirs/Slaughterhouse,Food & Beverage Industry,Manufacturing & Industrials,10110,Processing and preserving of meat,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
